word	count
dont	8
clim	8
dat	8
chang	7
it	7
scientists	6
carbon	6
global	6
earth	6
giv	5
lik	5
say	5
real	5
temperatur	4
us	4
tak	4
believ	4
scienc	4
that	4
caus	3
atmosph	3
also	3
way	3
called	3
truth	3
planet	3
97	3
scientist	3
hawai	3
world	3
need	3
fak	3
see	3
peopl	3
problem	3
tim	3
scam	3
humans	2
this	2
faux	2
claim	2
increased	2
would	2
first	2
law	2
says	2
energy	2
laug	2
nic	2
try	2
hom	2
trying	2
much	2
im	2
controlling	2
pollution	2
theres	2
dioxid	2
concentration	2
community	2
shar	2
localized	2
show	2
said	2
your	2
highest	2
anything	2
except	2
analysis	2
follow	2
bs	2
spend	2
you	2
worried	2
wast	2
norm	2
haas	2
throw	2
cooling	2
warming	2
ill	2
dominic	2
mother	2
sinc	2
grand	2
sol	2
minimum	2
stop	2
tax	2
going	2
bunc	2
control	2
nobody	2
compelling	1
evidenc	1
many	1
understand	1
earths	1
explicitly	1
exaggeration	1
ide	1
causing	1
ris	1
cannot	1
accurately	1
shown	1
viol	1
thermodynamics	1
must	1
conserved	1
current	1
popul	1
view	1
unscientific	1
ren	1
gor	1
bill	1
nye	1
cartoonist	1
responsibl	1
easily	1
persuaded	1
believing	1
lie	1
ass	1
wellvinceunfortunately	1
one	1
best	1
poll	1
nest	1
can	1
enjoy	1
saying	1
big	1
differenc	1
mainly	1
don	1
faster	1
pac	1
ever	1
404	1
ppm	1
right	1
now	1
wish	1
could	1
otherwis	1
hav	1
pleas	1
thats	1
highly	1
doesnt	1
account	1
rest	1
sampl	1
least	1
30	1
different	1
locations	1
statistically	1
significant	1
root	1
actually	1
increasing	1
wid	1
befor	1
violates	1
100	1
disagre	1
ones	1
reading	1
maul	1
loa	1
measured	1
obvious	1
reasons	1
look	1
httpswwwesrlnoaagovgmdccggtrendsglobalhtml	1
collected	1
larg	1
agre	1
making	1
numbers	1
probability	1
measures	1
standard	1
deviation	1
95	1
confidenc	1
intervals	1
graphs	1
articl	1
smoothed	1
isnt	1
proof	1
somebody	1
measuring	1
co2	1
test	1
hypotheses	1
scrutinizing	1
mak	1
inferences	1
cant	1
really	1
prov	1
math	1
logic	1
alarmists	1
scientific	1
method	1
raw	1
tested	1
hypothesis	1
margin	1
error	1
unless	1
prepared	1
defend	1
dismiss	1
basically	1
uniformed	1
tru	1
achieved	1
another	1
pantheist	1
worships	1
natur	1
well	1
writ	1
pages	1
days	1
worth	1
want	1
therefor	1
matter	1
precious	1
spent	1
better	1
help	1
sav	1
simpl	1
fact	1
rising	1
atmospheric	1
levels	1
rises	1
temperatures	1
rather	1
preced	1
them	1
temps	1
recent	1
record	1
cam	1
1930s	1
let	1
ask	1
averag	1
measurements	1
entir	1
glob	1
certain	1
nonsens	1
manmad	1
conspiracies	1
pur	1
produc	1
autonomous	1
plastic	1
combustion	1
frank	1
capon	1
makes	1
sens	1
park	1
car	1
fly	1
away	1
air	1
conditioner	1
heater	1
stov	1
refrigerator	1
dar	1
hot	1
shower	1
bath	1
get	1
friends	1
aka	1
believers	1
sam	1
mayb	1
dumbass	1
trust	1
god	1
man	1
judg	1
quit	1
alarming	1
number	1
laughed	1
link	1
food	1
thoughts	1
download	1
app	1
shows	1
detour	1
homeless	1
feces	1
upther	1
cycle	1
earthits	1
happening	1
beginning	1
period	1
researching	1
asi	1
indi	1
dumping	1
sea	1
greatest	1
threat	1
fukashimas	1
radiation	1
thing	1
timemoney	1
reminds	1
great	1
steely	1
dan	1
album	1
royal	1
news	1
everyon	1
good	1
arent	1
falling	1
sun	1
call	1
shotsman	1
insignificantsorry	1
httpopentextbccageologywpcontentuploadssites110201507glacialsandinterglacialspng	1
dennis	1
bac	1
stupid	1
giampaol	1
disprov	1
causenatural	1
cycling	1
effectscientist	1
crazy	1
monetiz	1
natural	1
occurring	1
events	1
yes	1
truthfeelings	1
opinions	1
facts	1
hat	1
stuff	1
calls	1
changes	1
began	1
weather	1
hors	1
shit	1
money	1
total	1
bullshit	1
spreading	1
httpswwwinvestorscompoliticseditorialsclimatechangeglobalwarmingearthcoolingmediabias	1
agend	1
darker	1
depopulation	1
anthropogenic	1
hoax	1
dollars	1
corruption	1
finest	1
httpswwwbitchutecomvideosykwlpcpo7	1
httpswwwyoutubecomwatchvgm8wjlr28ysfeatureyoutubefbclidiwar0ggufalcc7hbt0htfkaz2yezjfpyct53quo2hnauimtw4mv9lflzjhrm	1
